label,simplified_purpose,flag_description
locate -r,File Search,Use regular expressions
locate -l,File Search,Limit number of results
locate -e,File Search,Only existing files
mosh,Remote Access,
mosh -p,Remote Access,Specify port
mosh -s,Remote Access,Server-side SSH options
mosh -c,Remote Access,Specify SSH command
mosh --predict,Remote Access,Enable local-echo prediction
rsync,Remote File Transfer,
rsync -a,Remote File Transfer,Archive mode
rsync -v,Remote File Transfer,Verbose mode
rsync -z,Remote File Transfer,Compress file data
rsync --delete,Remote File Transfer,Delete extraneous files
rsync -P,Remote File Transfer,Show progress
scp,Remote File Transfer,
scp -r,Remote File Transfer,Recursive copy
scp -p,Remote File Transfer,Preserve file attributes
scp -C,Remote File Transfer,Enable compression
scp -P,Remote File Transfer,Specify port
scp -l,Remote File Transfer,Limit bandwidth
scp -t,Remote File Transfer,Payload drop
ssh,Remote Access,
ssh -p,Remote Access,Specify port
ssh -i,Remote Access,Identity file
ssh -L,Remote Access,Local port forwarding
ssh -R,Remote Access,Remote port forwarding
ssh -o,Remote Access,Specify SSH option
su,Privilege Escalation,
su -c,Privilege Escalation,Run command as substitute user
su -l,Privilege Escalation,Start login shell
su -p,Privilege Escalation,Preserve environment
sudo,Privilege Escalation,
sudo -u,Privilege Escalation,Run as specified user
sudo -s,Privilege Escalation,Run shell as specified user
sudo -H,Privilege Escalation,Set HOME to target user
sudo -E,Privilege Escalation,Preserve environment
sudo -n,Privilege Escalation,Non-interactive mode
tar,Archiving,
tar -c,Archiving,Create archive
tar -x,Archiving,Extract archive
tar -t,Archiving,List archive contents
tar -z,Archiving,Filter through gzip
tar -j,Archiving,Filter through bzip2
tar -v,Archiving,Verbose output
tar -f,Archiving,Specify archive file
tar --exclude,Archiving,Exclude files
zip,Archiving,
zip -r,Archiving,Include files and directories recursively
zip -u,Archiving,Update existing entries
zip -d,Archiving,Delete entries from zip
zip -9,Archiving,Maximum compression
zip -l,Archiving,List contents
nproc,Process Discovery,
chmod,Permission Manipulation,
chown,Permission Manipulation,
chrgp,Permission Manipulation,
dnf, Package Manipulation,
yum, Package Manipulation,
apt-get,Package Manipulation,
kill,Process Termination,
killall,Process Termination,
bg,Process Termination,
